,Total Ocupados,"Agricultura, ganadería, caza y silvicultura",Pesca,Explotación de minas y canteras,Industrias manufactureras,"Suministro de ectricidad, gas y agua",Construcción,"Comercio al por mayor y al por menor; reparación de vehículos automotores, motocicletas, efectos personales y enseres do",Hoteles y restaurantes,"Transporte, almacenamiento y comunicaciones",Intermediación financiera,"Actividades inmobiliarias, empresariales y de alquiler",Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Enseñanza,Servicios sociales y de salud,"Otras actividades de servicios comunitarios, sociales y personales",Hogares privados con servicio doméstico,Organizaciones y organos extraterritoriales,
,,,,,,,,,,,,,,,,,,,
Ene - Mar,78.14,9.48,1.17,3.32,7.28,0.27,3.52,15.58,4.04,7.79,0.65,3.46,6.25,6.91,3.12,2.06,3.23,0.00,
Feb - Abr,77.28,9.32,1.00,3.19,7.06,0.51,3.21,15.94,2.92,7.71,0.68,3.35,6.26,7.49,3.15,2.04,3.44,0.00,
Mar - May,78.40,8.59,0.94,3.35,7.29,0.62,3.10,17.34,3.25,8.62,0.57,2.62,6.60,7.73,2.97,1.51,3.30,0.00,
Abr - Jun,79.88,8.67,0.98,3.25,7.29,0.76,2.96,18.97,3.02,7.98,0.53,2.67,6.61,7.72,3.14,1.69,3.63,0.00,
May -Jul,81.66,9.61,1.10,3.86,8.17,0.69,3.07,18.45,3.56,7.74,0.60,3.29,5.95,8.16,2.80,1.57,3.04,0.00,
Jun - Ago,81.26,9.74,1.10,4.18,7.53,0.80,3.10,18.66,3.40,7.85,0.47,3.24,5.88,7.69,2.64,1.65,3.34,0.00,
Jul - Sep,79.86,10.02,0.98,4.40,7.97,0.72,3.44,17.10,3.09,7.75,0.36,3.31,6.20,7.67,2.12,1.60,3.14,0.00,
Ago - Oct,80.10,9.91,0.76,4.37,7.13,0.63,3.99,17.55,3.07,8.05,0.35,2.78,6.18,7.20,2.08,2.17,3.89,0.00,
Sep - Nov,81.92,10.53,0.80,3.87,7.88,0.48,4.54,16.80,3.53,8.25,0.30,2.99,6.19,7.58,2.02,2.37,3.78,0.00,
Oct - Dic,83.02,10.19,1.08,3.52,8.01,0.41,4.66,18.18,4.00,7.64,0.33,2.96,5.48,7.63,2.31,2.78,3.85,0.00,
Nov - Ene,83.04,9.69,1.09,3.32,8.50,0.40,4.15,19.05,3.45,7.51,0.42,3.04,5.41,7.83,2.51,3.53,3.15,0.00,
Dic - Feb,81.45,9.22,0.87,3.74,7.59,0.52,4.18,19.83,3.35,7.18,0.53,2.73,5.46,7.00,2.94,3.42,2.89,0.00,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
