years,fireRisk,vote,districtBen,districtSuc,districtSafe,forest,evac,chip,noChip,defense,noDefense,lostHome,ownRent,income,eth,spouseEth,edu
0.3,3,3,5,5,5,4,0,0,1,0,1,0,0,69,69,69,69
3.1,4,3,5,5,5,4,1,0,5,1,69,1,0,3,1,1,4
10,4,1,3,4,4,2,1,1,69,0,1,0,0,1,1,69,3
10.3,5,1,5,5,5,5,1,0,69,1,69,1,0,69,69,69,69
20,4,0,3,3,1,3,1,0,5,0,69,0,0,3,5,1,3
27.8,4,1,4,4,4,5,1,0,5,0,3,0,0,69,1,69,4
4.1,3,3,4,4,4,2,1,1,69,1,69,0,0,69,1,1,4
37,4,0,4,4,4,5,1,2,69,1,69,0,0,2,1,1,3
45,3,2,4,4,4,4,1,0,69,1,69,0,0,1,1,69,3
2,5,1,5,5,5,5,0,0,1,1,69,0,0,3,1,1,3
10.8,3,2,3,3,3,3,1,0,4,0,4,0,0,69,69,69,69
19.7,3,1,4,4,4,3,1,0,4,0,4,0,0,3,1,1,4
6.7,3,2,4,4,4,3,0,3,69,1,69,0,0,2,1,1,3
18.8,4,1,5,5,5,5,1,0,5,1,69,0,0,3,1,1,4
11,1,0,1,1,1,1,1,0,1,0,1,0,0,3,3,69,4
31.5,3,2,4,3,3,5,1,3,69,0,3,0,0,3,1,1,4
6,5,1,5,5,5,5,1,3,69,1,69,1,0,3,1,1,4
48.5,5,69,5,4,3,4,1,3,69,1,69,0,0,3,1,1,4
11.9,5,1,5,5,5,5,1,2,69,1,69,0,0,3,1,2,4
27,4,1,4,4,4,69,1,2,69,1,69,1,0,2,1,1,4
17.2,5,1,5,5,5,69,1,2,69,1,69,0,0,69,1,1,4
13,4,2,4,4,4,3,1,0,5,0,5,1,0,69,69,69,69
26,4,2,4,4,4,69,1,2,69,0,5,1,0,3,1,1,3
31,4,2,4,4,4,5,0,2,69,0,2,0,0,69,1,69,3
29.8,4,2,4,3,4,2,1,0,5,1,69,1,0,3,1,1,4
29.2,5,2,4,4,4,4,1,0,4,0,3,0,0,2,1,5,4
39.8,4,1,4,3,3,3,1,0,1,0,4,0,0,69,1,1,3
38,5,2,4,4,4,3,1,2,69,1,69,0,0,3,1,1,4
10,5,1,5,3,4,5,1,2,69,1,69,0,0,69,1,1,4
15.3,3,1,5,5,5,4,0,3,69,0,1,0,0,1,1,1,3
43,5,2,3,3,3,3,1,0,1,0,1,0,0,2,1,1,3
9.1,5,1,3,3,3,5,1,0,2,1,69,0,0,3,1,1,4
52.1,3,0,2,2,2,2,1,0,69,0,4,0,0,1,1,1,2
8,4,2,4,3,4,4,1,2,69,0,3,0,0,2,1,1,4
20.6,3,0,4,3,4,3,1,0,1,0,1,0,0,2,1,1,3
11.6,5,1,5,5,5,3,1,3,69,1,69,0,0,3,1,1,4
62.5,3,2,3,3,3,3,1,0,69,0,69,0,0,69,69,69,69
22.9,4,1,4,2,2,4,1,0,5,1,69,0,0,2,1,1,4
18,4,0,3,3,3,1,1,2,69,0,69,0,0,3,1,1,3
17.1,4,0,3,3,1,2,1,2,69,0,3,0,0,1,1,1,3
15,5,1,4,4,4,5,1,3,69,0,5,0,0,69,1,1,4
12,4,1,4,4,4,4,1,0,69,0,69,0,0,2,1,1,3
22,4,3,4,4,4,3,1,2,69,1,69,0,0,2,1,1,3
2,5,3,5,5,5,4,0,1,69,0,4,0,0,2,1,1,4
35,5,1,5,4,4,5,1,1,69,0,2,1,0,2,1,69,4
29,5,1,5,5,5,3,1,0,5,0,5,0,0,2,1,1,3
22.1,4,1,5,4,4,5,1,2,69,0,3,0,0,2,1,1,3
37,5,1,5,5,5,2,1,0,3,0,3,0,0,69,69,69,69
35,4,1,4,3,3,4,1,0,4,0,4,0,0,69,1,1,69
30,5,1,3,4,3,3,1,0,1,0,1,0,0,2,1,1,2
18,5,3,3,3,3,3,1,0,4,0,4,0,0,2,1,1,4
30,4,1,4,4,4,4,1,0,69,0,69,0,0,2,1,1,3
21,4,1,4,4,4,3,1,0,4,0,4,0,0,2,2,1,2
14.3,4,2,4,4,4,4,1,0,2,0,2,0,0,69,69,69,69
23,4,1,4,4,4,4,1,1,69,0,1,0,0,2,1,1,4
28.8,4,1,4,4,4,3,1,3,69,1,69,0,0,2,1,1,3
37,4,0,4,4,4,4,1,2,69,1,69,0,0,2,1,1,4
4,3,0,5,69,4,1,1,0,5,0,3,0,0,69,69,69,69
8,4,3,4,4,4,3,1,3,69,1,69,0,0,69,69,69,69
37.9,3,2,4,4,4,3,1,1,69,0,3,0,0,69,69,69,69
3.2,3,2,4,4,4,4,1,2,69,0,3,0,0,2,1,1,3
46.2,5,1,4,3,3,2,1,2,69,0,1,0,0,2,1,1,4
2.7,4,2,4,4,4,3,1,2,69,0,1,0,0,2,1,1,4
23.1,4,1,5,5,5,5,1,0,5,0,5,0,0,1,1,69,3
49.5,2,1,4,4,4,5,1,2,69,1,69,0,0,1,1,69,3
14.4,4,1,5,5,5,4,1,0,69,1,69,0,0,1,1,1,2
12.8,2,2,5,4,5,5,1,0,69,0,4,0,1,1,1,1,3
43,4,1,4,4,4,4,1,0,4,0,4,0,0,2,1,1,2
8.5,4,3,4,4,4,4,1,0,2,1,69,0,0,2,1,1,4
5,4,0,1,1,1,4,0,2,69,0,3,0,0,2,2,2,3
15.1,5,1,69,69,69,69,1,2,69,0,69,0,0,69,1,69,3
4,4,1,4,3,3,4,1,3,69,1,69,0,0,1,1,2,3
63,4,1,4,4,4,5,1,0,1,0,1,0,0,1,1,69,4
52,4,0,4,4,3,4,1,0,1,0,1,0,0,69,1,69,2
8.3,4,3,4,4,4,3,1,1,69,1,69,0,0,2,5,1,4
31.2,3,1,5,4,4,4,1,1,69,1,69,0,0,69,69,69,69
10.3,4,2,4,3,3,4,1,0,5,0,69,0,1,3,1,1,4
15,4,2,4,3,3,4,1,1,5,1,69,1,0,1,1,1,4
19.1,5,2,4,4,4,3,1,1,69,0,3,0,0,69,69,69,69
11.8,2,0,2,2,2,3,1,3,5,0,3,0,0,69,69,69,69
40,5,1,4,4,4,3,1,0,4,1,69,0,0,2,1,1,4
55,5,1,5,5,5,5,1,0,4,1,69,1,0,2,1,1,4
20,4,2,4,4,3,5,1,0,5,1,69,0,0,3,1,69,4
14,4,0,3,3,3,3,1,2,69,0,3,0,0,3,1,1,4
18,5,2,69,69,69,5,1,0,3,1,69,0,0,3,69,69,69
16.3,5,1,4,4,4,4,1,3,69,1,69,0,0,2,1,69,4
11.7,3,1,5,5,5,4,0,69,69,1,69,0,0,3,1,1,4
22,4,1,1,2,2,4,1,1,5,0,3,0,0,2,2,69,4
9,4,3,4,4,4,4,1,2,69,0,4,1,0,2,1,69,3
43,5,1,4,3,3,5,1,1,5,0,3,1,0,3,1,1,4
33,5,1,4,4,4,2,1,0,5,1,69,0,0,2,1,1,4
17,4,2,4,4,4,4,1,0,2,0,2,0,0,2,1,1,3
13,3,1,5,5,5,4,1,2,69,1,69,0,0,2,1,1,4
17,5,1,5,5,3,1,0,0,69,0,5,0,0,69,69,69,69
45,5,1,5,4,4,4,1,2,69,1,69,0,0,69,69,69,69
38.5,3,2,4,4,4,5,1,0,69,0,4,0,0,69,69,69,69
30,1,3,1,1,1,2,1,0,3,0,3,0,0,2,1,1,2
20.1,4,2,5,5,5,3,1,0,5,0,5,0,0,3,1,1,3
3.5,4,3,3,3,3,3,1,0,1,0,1,0,0,69,1,69,4
7,4,69,5,5,5,5,1,3,69,0,69,0,0,2,1,1,3
25,4,0,1,2,2,1,1,2,69,0,69,0,0,69,69,69,69
42,5,1,5,5,5,3,1,2,69,0,5,1,0,69,69,69,69
16.6,5,1,4,4,4,2,1,2,69,0,3,1,0,2,1,1,3
1.3,4,1,4,4,4,3,1,2,69,0,5,1,0,3,1,1,3
15,4,1,4,3,3,5,1,3,69,1,69,0,0,69,69,69,69
5.3,5,1,5,5,5,5,1,0,69,0,1,0,0,69,1,1,3
30,5,1,5,4,4,4,1,2,69,1,69,1,0,1,1,1,4
23,4,1,5,5,5,3,1,0,1,0,5,0,0,1,1,1,3
8,3,3,3,4,4,3,1,1,69,0,3,0,0,69,1,69,3
5.6,4,2,4,4,4,5,1,2,69,1,69,1,0,1,1,1,4
37,2,2,3,3,3,4,69,0,4,0,4,0,0,1,1,69,2
20,69,2,4,4,3,3,1,2,69,0,69,0,0,69,69,69,69
16.3,4,2,4,4,4,3,1,2,69,0,3,0,0,2,1,1,3
13.2,4,0,2,3,3,5,1,0,4,0,3,0,0,69,69,69,69
25.3,69,69,3,3,3,4,1,2,69,0,3,1,0,2,1,1,4
15.5,3,1,5,5,5,3,1,2,69,0,5,0,0,69,69,69,69
17.4,3,2,69,69,69,4,1,3,69,1,69,0,0,2,1,1,4
5.3,4,3,5,4,4,4,1,3,69,1,69,0,0,2,1,1,4
3,4,3,4,2,2,3,0,2,69,0,5,0,0,3,69,69,69
15,5,2,69,69,69,69,1,3,69,1,69,1,0,69,1,69,69
30,4,1,4,4,4,5,1,0,5,0,5,0,0,2,1,1,4
12.8,5,1,5,5,5,3,1,2,69,1,69,0,0,69,1,1,4
10,3,0,5,5,5,5,0,0,4,0,4,0,0,69,69,69,69
10,4,2,5,5,5,5,1,1,69,1,69,0,0,69,69,69,69
50,5,1,5,69,5,5,1,1,69,1,69,0,0,69,1,1,4
5,5,0,4,3,3,2,1,0,3,1,69,1,0,1,1,69,3
43,3,1,4,3,3,4,1,2,69,1,69,0,0,1,1,69,3
20.5,5,1,5,4,4,3,1,2,69,0,5,0,0,2,1,1,4
40.3,69,1,5,5,5,69,1,3,69,0,69,1,0,69,69,69,69
1.1,3,3,3,3,3,4,0,1,69,0,3,0,0,69,69,69,69
64,4,1,3,3,3,4,1,0,69,0,5,0,0,69,69,69,69
12.2,5,2,1,1,1,5,1,0,4,0,5,1,0,2,1,1,4
38.1,4,1,4,4,4,4,1,1,69,0,3,0,0,2,1,1,4
1.2,5,3,5,5,5,5,0,0,69,0,1,0,0,69,1,1,4
50,3,2,4,3,4,3,1,3,69,0,69,0,0,69,69,69,69
20,5,2,5,5,5,3,1,3,69,1,69,1,0,69,1,1,3
20,4,1,5,5,5,5,1,2,69,1,69,0,0,1,1,69,3
18.3,3,2,5,3,3,3,1,0,4,0,4,0,0,3,1,1,3
29,4,1,4,4,4,5,1,3,69,1,69,0,0,2,1,1,3
5.3,2,1,3,3,3,4,1,0,1,0,1,0,0,2,5,1,4
40.2,5,1,5,4,4,3,1,2,69,1,69,1,0,3,1,1,4
27,5,1,3,3,3,4,1,3,69,0,69,0,0,2,1,1,4
27.2,5,1,3,3,3,3,1,2,69,0,4,0,0,1,1,2,3
24.4,4,2,4,4,4,3,0,2,69,0,3,0,0,1,1,1,3
2,4,3,5,4,5,5,1,0,69,0,5,0,0,2,1,1,4
20,2,2,4,4,4,4,1,0,5,0,5,0,0,2,1,1,3
20.1,4,2,4,4,4,3,1,0,5,1,69,0,0,3,1,1,4
22.4,4,0,4,3,3,4,1,0,5,0,4,0,0,69,69,69,69
12.3,4,1,5,5,5,5,1,2,69,1,69,0,0,3,1,1,4
28,4,2,3,3,3,3,0,0,3,0,5,0,0,69,1,1,4
46,4,2,4,4,4,5,1,2,69,0,1,1,0,2,1,1,4
44,3,69,4,4,4,3,0,0,4,0,3,0,0,2,1,1,4
24,5,1,4,3,3,5,1,0,5,0,69,0,0,3,1,69,3
0.3,3,3,4,4,4,4,0,0,1,0,1,0,0,3,1,1,4
74.8,69,69,69,69,69,69,69,69,69,69,69,69,1,69,69,69,69
6,4,3,5,5,5,3,0,3,69,0,5,0,0,2,1,69,4
23,5,2,5,4,4,69,1,3,69,1,69,1,0,69,69,69,69
32,4,1,5,4,5,5,1,3,69,1,69,0,0,2,1,1,3
38.3,3,1,5,4,4,3,1,3,69,0,5,1,0,69,69,69,69
35,4,1,4,4,4,4,1,2,69,1,69,1,0,69,69,69,69
3,5,2,5,5,5,3,1,2,69,1,69,1,0,3,1,1,3
20,4,2,4,4,4,3,1,0,1,0,1,1,0,3,1,1,4
14.1,4,0,3,4,4,3,1,0,2,0,3,0,0,2,1,1,4
4.8,4,2,3,3,3,3,1,0,5,1,69,0,0,3,1,1,4
5.8,5,2,5,5,5,3,0,3,69,0,2,0,0,3,1,1,4
36,4,1,4,4,4,3,0,0,3,0,2,0,0,3,1,1,4
18,4,1,4,4,4,3,1,3,69,0,5,1,0,2,1,1,4
2.3,3,3,4,4,4,5,0,1,69,0,2,0,0,69,69,69,69
20.5,4,2,3,3,3,4,1,0,4,1,69,1,0,2,1,69,3
40,5,1,5,4,4,5,1,1,69,1,69,0,0,2,1,1,4
19.1,4,1,5,5,5,4,1,3,69,1,69,0,0,1,1,69,4
13,4,1,5,5,5,5,1,3,69,1,69,0,0,2,1,1,3
1,5,3,3,3,3,3,0,0,5,0,5,0,1,1,1,1,4
40,3,1,5,5,5,5,1,0,69,0,3,1,0,2,1,1,4
10,5,1,5,4,5,5,1,3,69,0,5,0,0,69,69,69,69
13,3,1,5,5,5,4,1,3,69,0,69,0,0,2,1,1,4
45,5,1,4,4,4,3,1,1,69,0,69,0,0,1,1,1,3
22.3,5,1,5,5,4,4,1,0,4,0,4,0,0,3,1,1,2
55,3,1,4,4,4,5,1,0,5,0,3,0,0,69,1,69,4
21,5,3,4,4,4,3,1,3,69,1,69,1,0,2,1,1,4
7,2,1,4,3,4,5,0,0,69,0,4,0,0,3,1,1,4
35,4,0,2,2,2,5,1,0,4,0,4,0,0,69,69,69,69
32,3,1,4,4,4,3,1,2,69,0,3,0,0,69,69,69,69
17.8,4,1,5,5,5,3,1,0,4,0,5,0,0,1,1,1,2
24.1,5,1,5,5,5,5,1,2,69,1,69,0,0,69,1,1,3
0.8,4,2,3,3,3,3,0,2,69,1,69,0,0,2,1,1,4
7.2,4,3,4,4,4,3,1,3,69,1,69,1,0,1,1,1,4
5,4,2,3,3,3,4,1,1,69,0,3,0,0,69,69,69,69
18,4,1,4,4,4,3,1,0,4,0,4,0,0,69,69,69,69
41,3,1,5,5,5,5,1,2,69,0,4,0,0,2,1,1,4
43,4,1,4,3,3,3,1,0,5,0,1,0,0,69,69,69,69
0.2,4,3,5,5,5,4,0,0,69,0,1,0,0,1,1,5,4
0.8,4,3,4,3,4,5,0,0,5,0,1,0,0,69,69,69,69
0.3,4,3,5,4,4,4,0,0,1,0,5,0,0,69,69,69,69
13,3,2,4,4,4,4,1,0,4,0,3,0,0,3,1,1,4
55.3,3,1,4,4,4,3,1,3,69,1,69,0,0,1,1,69,3
30,5,1,5,5,5,4,1,0,1,1,69,0,0,69,69,69,69
11.5,4,0,4,3,3,3,1,0,2,0,2,0,0,69,69,69,4
39,3,1,4,5,5,5,1,2,69,1,69,0,0,1,1,69,4
11.3,5,2,5,5,5,3,0,3,69,1,69,1,0,1,1,1,4
58,4,1,5,5,5,5,1,2,69,1,69,0,0,1,1,69,4
9,5,2,4,4,4,3,1,2,69,1,69,0,0,1,1,69,3
9.1,5,3,4,4,4,3,1,3,69,1,69,0,0,69,69,69,69
36,4,1,5,5,5,69,1,3,69,1,69,0,0,2,1,69,69
40.2,3,0,3,3,3,2,1,0,4,0,3,0,0,1,1,69,4
42,5,1,4,4,4,4,1,3,5,1,69,0,0,1,1,1,4
24,4,1,4,3,3,3,1,0,5,0,3,0,0,69,1,1,4
7.1,3,3,69,69,69,69,1,0,69,0,5,0,1,2,2,1,3
1.1,4,2,3,3,3,5,0,0,69,0,5,0,0,2,1,1,4
26.3,5,1,5,5,5,5,1,0,1,0,3,0,0,2,1,69,4
35,3,2,5,4,4,4,1,0,1,0,1,0,0,69,1,1,3
43,4,2,3,4,4,5,1,1,69,0,3,0,0,2,1,1,4
43,3,1,4,4,4,3,1,0,1,1,69,0,0,1,1,3,3
49,3,2,3,3,3,3,1,0,69,0,5,1,0,69,69,69,4
30,4,1,4,4,4,4,1,3,5,0,5,1,0,1,1,69,4
40,5,1,4,4,4,3,1,3,69,1,69,1,0,1,1,69,4
30,5,2,2,2,2,4,69,0,5,69,69,0,0,69,69,69,69
16,5,1,5,4,5,69,1,3,69,0,1,1,0,2,1,1,3
25,5,1,4,3,3,4,1,2,69,1,69,1,0,3,1,1,4
13,4,2,4,4,4,5,1,0,5,0,5,0,0,3,1,1,4
74.8,69,69,69,69,69,69,69,69,69,69,69,69,1,69,69,69,69
5.9,4,3,3,3,3,4,0,0,5,0,5,1,0,2,1,1,4
2.1,5,3,4,4,4,69,0,2,69,1,69,0,0,2,1,1,3
27.4,4,1,5,5,5,4,1,3,69,1,69,1,0,69,69,69,69
22.3,3,1,4,4,4,3,1,1,69,1,69,1,0,2,1,69,2
10,3,1,4,4,4,4,1,0,69,0,5,0,0,3,1,1,2
4,5,1,5,5,5,4,1,3,69,0,69,0,1,1,4,1,4
11.3,5,0,1,2,2,5,1,3,69,0,5,0,0,3,6,6,4
57,4,2,4,4,4,3,1,3,69,0,69,1,0,1,1,1,2
12.4,5,1,4,2,3,5,1,0,4,1,69,1,0,3,1,1,4
14,4,1,4,2,2,5,1,3,69,0,5,1,0,1,1,69,4
40,4,1,5,4,4,5,1,2,69,1,69,0,0,69,1,69,3
13,4,1,69,69,69,4,1,0,4,0,4,0,0,2,1,69,2
10.5,4,2,4,3,4,4,1,0,2,0,2,0,0,2,2,1,3
46.5,4,2,3,3,4,4,1,3,69,1,69,0,0,3,1,1,4
17.2,5,1,5,5,5,4,1,0,5,0,5,0,0,3,1,1,4
16.2,5,2,5,3,3,3,1,3,69,1,69,1,1,2,1,3,4
8.4,5,3,69,69,69,69,1,0,1,0,1,0,0,69,69,69,69
15,1,0,1,1,1,1,0,1,69,1,69,0,0,2,1,69,4
5,69,3,5,69,69,69,1,0,1,69,69,0,0,69,69,69,69
12,5,1,3,3,3,3,1,0,4,0,69,0,0,69,69,69,69
2,4,2,5,5,5,5,0,0,69,0,1,0,1,2,1,1,3
